study_hours,exam_score
1.7445699993,47.0014742479
5.3799249775,76.9937359446
5.4163629492,82.1827694767
9.4404380948,116.5798458913
6.1455524714,89.1354508965
5.2614046095,68.0040870284
3.4027809678,67.0426909039
3.9841209761,70.2410751868
5.6860516222,84.7148385937
4.9502031427,85.2075719788
1.1945087189,38.6426240079
8.4366273177,100.3191877572
9.0654469466,110.9453837132
2.2622418010,49.0588415101
5.9863252919,92.2771849292
1.9771816702,56.6706455901
7.0501608374,97.1091262094
3.5311040546,63.6285621015
6.9348037122,96.0798462915
7.5429515286,101.9144942443
7.9178274273,100.5480958051
1.9696685136,55.9445183155
9.2441066062,110.6825157432
3.0719259181,58.7227180617
1.3367130056,49.2877041407
5.9936722245,84.1899290217
4.3383005548,74.4542234825
8.4681076882,108.5099288960
8.2742632486,96.7642939544
3.8542500354,68.2818301139
9.5760945556,119.2279869055
3.6182605433,63.4190129304
5.6355141631,78.1551061367
3.3036858151,65.7891745725
9.4243921304,114.9048669307
2.4814703582,58.6681579646
1.4041955745,57.1762697612
4.9158735400,81.1530214630
9.9313800765,118.6944509082
9.0250953963,110.4587979788
7.7374721751,109.6693068151
9.0171324179,106.6026846900
9.0410197573,97.7900367193
5.6697252435,90.5442111337
3.8433614665,66.5367138438
7.9481118890,100.1502413892
6.9549513685,98.7098886881
4.3629195599,64.7105989937
1.8502000126,47.6182640236
7.7211065021,89.9019090805
3.3621446433,61.2454033747
9.4313183548,112.9330706911
3.1687351751,66.3864530269
2.1048213917,57.1675313344
8.4800140491,96.5362759490
2.3795588496,46.2961741890
2.6134147734,59.8723787276
6.3944451237,85.5994582595
8.8710583675,108.8298666151
2.7679119914,64.2691080668
3.7929130561,69.1380550810
